,route,depature,error
216,B->C->D,1900-01-01 14:27:00,1.837524754181402
217,B->C->D,1900-01-01 08:09:00,0.088379829383058
218,A->C->E,1900-01-01 07:29:00,1.780833411118536
219,A->C->E,1900-01-01 10:48:00,4.576922948447418
220,B->C->D,1900-01-01 08:54:00,4.5019532948655865
221,A->C->E,1900-01-01 16:17:00,4.168389492654427
222,B->C->D,1900-01-01 07:42:00,1.7491537723782642
223,B->C->D,1900-01-01 16:53:00,4.316707895942102
224,A->C->E,1900-01-01 11:15:00,0.6254627560267068
225,A->C->D,1900-01-01 09:44:00,0.6100918967599682
226,B->C->E,1900-01-01 10:01:00,3.2420756353068327
227,A->C->D,1900-01-01 09:47:00,3.9047186550758397
228,A->C->E,1900-01-01 13:45:00,11.104871646310514
229,A->C->E,1900-01-01 11:47:00,1.3170085831385592
230,A->C->D,1900-01-01 09:19:00,6.803555305130374
231,B->C->E,1900-01-01 13:34:00,3.912726772520145
232,B->C->D,1900-01-01 09:39:00,0.3535113063618951
233,B->C->D,1900-01-01 11:16:00,3.8993545253365056
234,B->C->E,1900-01-01 14:16:00,2.2994154223083854
235,B->C->E,1900-01-01 10:12:00,2.631003940653102
236,B->C->E,1900-01-01 15:36:00,1.0731052431803647
237,B->C->D,1900-01-01 08:41:00,0.8275518070256282
238,A->C->E,1900-01-01 11:54:00,8.695575811419033
239,A->C->E,1900-01-01 13:26:00,7.8609707113188705
240,A->C->E,1900-01-01 13:10:00,0.16779361909850365
241,A->C->E,1900-01-01 13:11:00,1.165995848447409
242,A->C->D,1900-01-01 16:28:00,4.963844639100046
243,B->C->E,1900-01-01 12:32:00,1.105895439996857
244,B->C->D,1900-01-01 07:47:00,5.03225550801443
245,B->C->D,1900-01-01 15:12:00,3.3234652719863504
246,B->C->D,1900-01-01 08:40:00,1.4552723400822742
247,A->C->E,1900-01-01 16:53:00,5.766890763906517
248,A->C->D,1900-01-01 15:42:00,4.3410318281129605
249,A->C->E,1900-01-01 13:43:00,6.891532812387311
250,A->C->E,1900-01-01 15:54:00,6.8729592323205395
251,A->C->D,1900-01-01 13:41:00,8.539341044477908
252,B->C->D,1900-01-01 16:21:00,0.5370551199194722
253,B->C->D,1900-01-01 07:10:00,2.779593360751946
254,B->C->E,1900-01-01 12:48:00,0.07871608587959145
255,A->C->D,1900-01-01 12:48:00,4.487677124530649
256,B->C->E,1900-01-01 10:37:00,1.039295881725394
257,A->C->D,1900-01-01 08:53:00,1.3506144844714356
258,B->C->E,1900-01-01 08:40:00,1.995772764188473
259,A->C->E,1900-01-01 14:43:00,3.0006009485475857
260,A->C->E,1900-01-01 08:44:00,3.353999387712861
261,A->C->D,1900-01-01 12:58:00,5.6174893999275355
262,A->C->D,1900-01-01 10:09:00,10.04896002469907
263,B->C->D,1900-01-01 11:38:00,3.745585967828646
264,B->C->D,1900-01-01 11:09:00,2.1528125609819995
265,A->C->D,1900-01-01 13:42:00,4.736162553464936
266,A->C->E,1900-01-01 12:14:00,4.7315312244407295
267,A->C->D,1900-01-01 07:37:00,4.251555041411578
268,B->C->D,1900-01-01 12:09:00,3.6497055443937327
269,A->C->D,1900-01-01 16:11:00,1.9998709524148097
270,B->C->D,1900-01-01 11:17:00,2.004432976140208
271,B->C->D,1900-01-01 08:37:00,1.6964141139128373
272,A->C->E,1900-01-01 07:08:00,4.818586594791313
273,B->C->E,1900-01-01 10:49:00,3.9008372373180435
274,A->C->D,1900-01-01 11:56:00,0.9215301429581189
275,A->C->D,1900-01-01 07:44:00,9.39993964052988
276,A->C->D,1900-01-01 12:45:00,6.812877503521861
277,A->C->E,1900-01-01 15:02:00,8.033556693823044
278,B->C->D,1900-01-01 16:10:00,6.870668153246669
279,B->C->D,1900-01-01 14:03:00,4.0449231053652
280,A->C->E,1900-01-01 12:02:00,2.290042023372294
281,A->C->E,1900-01-01 11:09:00,4.614676132120195
282,B->C->D,1900-01-01 12:05:00,0.35418321403864184
283,B->C->E,1900-01-01 14:08:00,8.305026265007626
284,A->C->E,1900-01-01 10:41:00,4.435661446110188
285,B->C->E,1900-01-01 07:25:00,1.1643918414801107
286,B->C->E,1900-01-01 10:21:00,2.2239074076018426
287,B->C->E,1900-01-01 07:10:00,1.640717696735038
288,A->C->E,1900-01-01 11:18:00,0.6308560679799626
289,A->C->E,1900-01-01 13:31:00,5.8699595645742875
290,B->C->D,1900-01-01 13:46:00,0.8282531274352465
291,B->C->D,1900-01-01 09:32:00,4.1612654298809275
292,A->C->E,1900-01-01 16:50:00,4.227715924140227
293,A->C->E,1900-01-01 13:44:00,2.8933305830383915
294,A->C->D,1900-01-01 09:52:00,1.7505011875808236
295,A->C->D,1900-01-01 12:42:00,2.9046049418884934
296,B->C->E,1900-01-01 09:44:00,2.045925889063085
297,B->C->E,1900-01-01 13:32:00,4.889650331785575
298,A->C->D,1900-01-01 16:46:00,0.21440385140493845
299,A->C->E,1900-01-01 10:20:00,4.526585370217035
300,A->C->D,1900-01-01 11:00:00,1.555535427836503
301,A->C->E,1900-01-01 12:15:00,3.7333289950918243
302,B->C->E,1900-01-01 14:08:00,0.3050262650076263
303,A->C->D,1900-01-01 11:32:00,4.320475963670589
304,A->C->E,1900-01-01 15:26:00,3.076703189449077
305,B->C->D,1900-01-01 10:21:00,6.686798301738463
306,A->C->D,1900-01-01 11:34:00,6.430403500693245
